acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,description,environment,exposure_factor,exposure_factor_category,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_search_engine,is_geospatial_data,last_inserted,last_modification,last_updated,license_name,license_type,name,nature,organizations,other_access_points,projection_system,related_geographical_information,subthematic,temporal_scale,theme_category,update_frequency,url,year
,Lyon,,,Acoucité,email,,,,Bruit,Bruit,Site,False,True,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2020-01-06T00:03:00.000Z,,Attribution,Mesures de bruit dans l'agglomération de Lyon,,Acoucité,https://www.grandlyon.com/services/cartes-du-bruit.html,WGS84|RGF93|Lambert93,False,Noise measures,Non renseigné,,Hebdomadaire,https://www.data.gouv.fr/fr/datasets/reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon/#_,"['2006', 'en cours']"
,Grenoble,,,Acoucité,email,,,,Bruit,Bruit,Site,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,Mesures de bruit dans l'agglomération de Grenoble,,Acoucité,https://www.grenoblealpesmetropole.fr/469-lutte-contre-le-bruit.htm,,False,Population exposure to noise,Non renseigné,,No information,https://www.acoucite.org/Partenaires/METRO/reseau-de-mesure/API_METRO.php,"['2012', 'en cours']"
ORHANE,Région Auvergne-Rhône-Alpes,,,Acoucité,email,,,,Buit|Air,Buit|Air,Maille 10mx10m,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,ORHANE,,Acoucité|ATMO France,,,False,Air quality and acoustic,Non renseigné,,Y5,http://www.orhane.fr/,"['2014', 'en cours']"
CIPA,,False,,index-matphyto@univ-lyon1.fr,email,,,,Pesticides|biocides,Pesticides|biocides,,False,True,True,False,False,True,True,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,2021-01-01T00:01:00.000Z,,,Compilation des Index Phytosanitaires Acta,,ACTA|DGAL,,,True,Plant Health Substances Index,Non renseigné,,No information,http://matphyto.acta-informatique.fr/Accueil,['1961 – en cours']
CIBLEX,France métropolitaine et DROM,False,,ADEME,email,,,Sols,Socio-demographic indicators,Socio-demographic indicators,Department,False,True,True,False,True,True,True,2021-01-08T00:03:00.000Z,2021-01-08T00:03:00.000Z,2003-01-01T00:01:00.000Z,,,Ciblex,,ADEME,,,True,Descriptive parameters of the French population,Non renseigné,,None,https://www.irsn.fr/EN/Research/publications-documentation/Publications/DRPH/SAER/Pages/La-banque-de-donnees-CIBLEX-une-compilation-de-parametres-d-exposition-de-la-population-francaise-au-1522.aspx,"['2003', '']"
SINOE,France métropolitaine et DROM,False,,ADEME,email,,,Sols,Waste,Waste,Site|Address|Xy coordinates,True,True,True,False,False,True,True,2021-01-09T00:03:00.000Z,2021-01-09T00:03:00.000Z,2018-01-01T00:07:00.000Z,,Attribution,SINOE,,ADEME,Portail de l'Ademe|DataGouv,,False,"Waste management, Sustainable development",Non renseigné,,Regular,https://www.sinoe.org/index,"['2004', 'en cours']"
BNV-D,,,,bnvd- contact@ineris.fr,email,,,,Phytopharmaceutical products and substances,Phytopharmaceutical products and substances,,False,True,True,False,False,True,True,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,2020-01-18T00:12:00.000Z,,Attribution,Banque nationale des ventes réalisées par les distributeurs de produits phytosanitaires,,AFB|INERIS,https://bnvd.ineris.fr/,,True,Sales of phytopharmaceutical products,None,,Annual,https://www.data.gouv.fr/fr/datasets/ventes-de-pesticides-par-departement/,"['2008', 'en cours']"
OSUR,Régions Bretagne|Pays-de-la-Loire|Auvergne-Rhône-Alpes|Bourgogne-Franche-Comté|Centre-Val de Loire|Normandie|Nouvelle-Aquitaine|Occitanie,,,stations_OSUR@eau-loire-bretagne.fr,email,,,Water,Water pollutants,Water pollutants,Measuring point,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2021-01-01T00:04:00.000Z,,Attribution,Connaissance et qualité des eaux de surface,,Agence de l'eau Loire-Bretagne,,,True,Surface water quality|Knowledge,Non renseigné,,No information,http://osur.eau-loire-bretagne.fr/exportosur/action/Geographie,"['1971', 'en cours']"
OSUR,Régions Bretagne|Pays-de-la-Loire|Auvergne-Rhône-Alpes|Bourgogne-Franche-Comté|Centre-Val de Loire|Normandie|Nouvelle-Aquitaine|Occitanie,,,stations_OSUR@eau-loire-bretagne.fr,email,,,Water,Water pollutants,Water pollutants,Measuring point,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,Attribution,Réseau de mesure pour la mesure de la qualité des eaux de surface,,Agence de l'eau Loire-Bretagne,,,False,Station measurement networks,Non renseigné,,No information,http://carmen.carmencarto.fr/179/OSUR.map,"['1971', 'en cours']"
,Régions Bretagne et Pays-de-la-Loire,,,adl.dreal-pdl@developpement-durable.gouv.fr,email,,,Water,Water pollutants,Water pollutants,,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2021-01-21T00:01:00.000Z,,,Référentiel masse d’eau (+ Bassins Versants),,Agence de l'eau Loire-Bretagne,https://geo.data.gouv.fr/fr/datasets/b28a0cdbbf507bbd08387dc7f5f49214a10aa59f,,False,Water mass standard,Non renseigné,,Y6,https://www.data.gouv.fr/fr/datasets/bassins-versants-des-masses-deau-loire-bretagne/,['2016']
