acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,description,environment,exposure_factor,exposure_factor_category,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_search_engine,is_geospatial_data,last_inserted,last_modification,last_updated,license_name,license_type,name,nature,organizations,other_access_points,projection_system,related_geographical_information,subthematic,temporal_scale,theme_category,update_frequency,url,year
,Lyon,,Portail|API,Acoucité,email,Environnement,"LDEN (Day,Evening and Night) : niveau sonore équivalent pondéré A calculé sur les trois périodes horaires,jour (6h-18h), soirée (18h-22h),nuit (22h-6h).LNight : niveau sonore équivalent pondéré A sur la période nocturne (22h-6h)",,Bruit,Bruit,Site,False,True,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2020-01-06T00:03:00.000Z,Licence Ouverte Etalab,Attribution,Mesures de bruit dans l'agglomération de Lyon,Agents Physiques,Acoucité,https://www.grandlyon.com/services/cartes-du-bruit.html,WGS84|RGF93|Lambert93,False,Mesures de bruit,Non renseigné,Environnement,Hebdomadaire,https://www.data.gouv.fr/fr/datasets/reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon/#_,"['2006', 'en cours']"
,Grenoble,,,Acoucité,email,Environnement,,,Bruit,Bruit,Site,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,Non renseigné,,Mesures de bruit dans l'agglomération de Grenoble,Agents Physiques,Acoucité,https://www.grenoblealpesmetropole.fr/469-lutte-contre-le-bruit.htm,,False,Exposition des population au bruit,Non renseigné,Environnement,Non renseigné,https://www.acoucite.org/Partenaires/METRO/reseau-de-mesure/API_METRO.php,"['2012', 'en cours']"
ORHANE,Région Auvergne-Rhône-Alpes,,,Acoucité,email,Environnement,Localisation des zones de co-exposition Air / Bruit,,Buit|Air,Buit|Air,Maille 10mx10m,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,Non renseigné,,ORHANE,Agents Physiques,Acoucité|ATMO France,,,False,Qualité de l'air et acoustique,Non renseigné,Environnement,Y5,http://www.orhane.fr/,"['2014', 'en cours']"
CIPA,,False,,index-matphyto@univ-lyon1.fr,email,Environnement,,,Pesticides|biocides,Pesticides|biocides,,False,True,True,False,False,True,True,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,2021-01-01T00:01:00.000Z,Non renseigné,,Compilation des Index Phytosanitaires Acta,Pesticides,ACTA|DGAL,,,True,Index des substances phytosanitaires,Non renseigné,Environnement,Non renseigné,http://matphyto.acta-informatique.fr/Accueil,['1961 – en cours']
CIBLEX,France métropolitaine et DROM,False,,ADEME,email,Environnement,"Compile les paramètres descriptifs de la population française (âge, sexe, budget espace-temps et consommation alimentaire...) en fonction de l'occupation des sols (zone continentale, surface en eaux…) et de l'usage type (résidentiel, professionnel, récréatif...)",Sols,Indicateurs socio-démographiques,Indicateurs socio-démographiques,Département,False,True,True,False,True,True,True,2021-01-08T00:03:00.000Z,2021-01-08T00:03:00.000Z,2003-01-01T00:01:00.000Z,Non renseigné,,Ciblex,Indicateurs géographiques et socio-démographiques,ADEME,,,True,Paramètres descriptifs de la population française,Non renseigné,Population et société,None,https://www.irsn.fr/EN/Research/publications-documentation/Publications/DRPH/SAER/Pages/La-banque-de-donnees-CIBLEX-une-compilation-de-parametres-d-exposition-de-la-population-francaise-au-1522.aspx,"['2003', '']"
SINOE,France métropolitaine et DROM,False,,ADEME,email,Environnement,"Localisation des sites de traitement des déchets, noms des opérateurs, description des déchets entrant dans les sites, analyse des coûts de la gestion des déchets",Sols,Déchets,Déchets,Site|Adresse|Coordonnées xy,True,True,True,False,False,True,True,2021-01-09T00:03:00.000Z,2021-01-09T00:03:00.000Z,2018-01-01T00:07:00.000Z,Licence Ouverte Etalab,Attribution,SINOE,,ADEME,Portail de l'Ademe|DataGouv,,False,"Gestion des déchets, Développement durable",Non renseigné,Environnement,Régulière,https://www.sinoe.org/index,"['2004', 'en cours']"
BNV-D,,,,bnvd- contact@ineris.fr,email,Environnement,Données de vente de produits phytopharmaceutiques issues des déclarations des distributeurs (ou des agriculteurs ayant acheté à l'étranger),,Produits et substances phytopharmaceutiques,Produits et substances phytopharmaceutiques,,False,True,True,False,False,True,True,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,2020-01-18T00:12:00.000Z,Licence Ouverte Etalab,Attribution,Banque nationale des ventes réalisées par les distributeurs de produits phytosanitaires,,AFB|INERIS,https://bnvd.ineris.fr/,,True,Ventes de produits phytopharmaceutiques,None,Environnement,Annuelle,https://www.data.gouv.fr/fr/datasets/ventes-de-pesticides-par-departement/,"['2008', 'en cours']"
OSUR,Régions Bretagne|Pays-de-la-Loire|Auvergne-Rhône-Alpes|Bourgogne-Franche-Comté|Centre-Val de Loire|Normandie|Nouvelle-Aquitaine|Occitanie,,,stations_OSUR@eau-loire-bretagne.fr,email,Environnement,"Analyse physico-chimiques et conditions environnementales de la qualité des eaux de surface, liste faunistique ou floristique, opération de prélèvement biologique, réseau de mesure, station de mesure, zone de faciès, taxon indices biologiques",Eau,Polluants de l'eau,Polluants de l'eau,Point de mesure,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2021-01-01T00:04:00.000Z,Licence Ouverte Etalab,Attribution,Connaissance et qualité des eaux de surface,,Agence de l'eau Loire-Bretagne,,,True,Qualité des eaux de surface|Connaissance milieux,Non renseigné,Environnement,Non renseigné,http://osur.eau-loire-bretagne.fr/exportosur/action/Geographie,"['1971', 'en cours']"
OSUR,Régions Bretagne|Pays-de-la-Loire|Auvergne-Rhône-Alpes|Bourgogne-Franche-Comté|Centre-Val de Loire|Normandie|Nouvelle-Aquitaine|Occitanie,,,stations_OSUR@eau-loire-bretagne.fr,email,Environnement,,Eau,Polluants de l'eau,Polluants de l'eau,Point de mesure,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,Licence Ouverte Etalab,Attribution,Réseau de mesure pour la mesure de la qualité des eaux de surface,,Agence de l'eau Loire-Bretagne,,,False,Réseaux de mesure de stations,Non renseigné,Environnement,Non renseigné,http://carmen.carmencarto.fr/179/OSUR.map,"['1971', 'en cours']"
,Régions Bretagne et Pays-de-la-Loire,,,adl.dreal-pdl@developpement-durable.gouv.fr,email,Référentiel,,Eau,Polluants de l'eau,Polluants de l'eau,,False,False,True,False,False,True,True,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,2021-01-21T00:01:00.000Z,Non renseigné,,Référentiel masse d’eau (+ Bassins Versants),,Agence de l'eau Loire-Bretagne,https://geo.data.gouv.fr/fr/datasets/b28a0cdbbf507bbd08387dc7f5f49214a10aa59f,,False,Référentiel de masse d'eau,Non renseigné,Environnement,Y6,https://www.data.gouv.fr/fr/datasets/bassins-versants-des-masses-deau-loire-bretagne/,['2016']
