slug,model,field_id,name_fr,name_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,LIST_order,ITEM_order,FILTER_order,mandatory,editable,commentable,description_fr,description_en,example_fr,example_en
id,dataset,datasets.id,ID,ID,COMMON,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,,"ObjectId(""61e5d90e61a533db2aae3046"")","ObjectId(""61e5d90e61a533db2aae3046"")"
integration_status,dataset,datasets.integration_status,Publié,Published,COMMON,,,False,,,False,False,bool,boolean,False,False,3,-1,-1,-1,False,False,False,Date à laquelle le dataset a été proposé,,2022-01-17T22:00:47.827Z,2022-01-17T22:00:47.827Z
state,dataset,datasets.state,Status,Statut,COMMON,,,False,,,False,False,bool,boolean,False,False,2,-1,-1,-1,False,False,False,"Statut du jeu de données : proposed : proposé, pending_review : attente de revue, invalid : a passé les tests est invalide, valid : a passé les tests et est valide, published : publié ",,pending_review,pending_review
last_inserted,dataset,datasets.last_inserted,Date de dernière insertion,Last Inserted Date,COMMON,,,False,,,False,False,date,date,False,False,4,-1,-1,-1,False,False,False,Date à laquelle le dataset a été ajouté dans la base,,2022-01-17T22:00:47.827Z,2022-01-17T22:00:47.827Z
last_modification,dataset,datasets.last_modification,Date de dernière modification,Last Modification Date,COMMON,,,False,,,False,False,date,date,False,False,5,2,2,-1,False,False,False,Date à laquelle le dataset a été mis à jour dans la base,,2022-01-17T22:00:47.827Z,2022-01-17T22:00:47.827Z
name,dataset,datasets.name,Nom,Name,COMMON,,,False,,,False,False,unique,string,True,False,6,3,3,-1,True,True,False,Nom complet du jeu de données attribué par le producteur,,Mesures de bruit dans l'agglomération de Lyon,Mesures de bruit dans l'agglomération de Lyon
acronym,dataset,datasets.acronym,Sigle,Acronym,COMMON,,,False,,,False,False,unique,string,True,False,7,1,1,-1,False,True,False,"Sigle, abbréviation du jeu de données",,ORHANE,ORHANE
organizations,dataset,datasets.organizations,Organismes,Organizations,COMMON,organization,name,False,,,False,True,enum,object,False,True,9,5,5,-1,True,True,False,Liste des organismes  producteurs du jeu de données,,"{""_id"" : ObjectId(""61e5d8ff61a533db2aae3007""),""name"" : ""Acoucité""}, {""_id"" : ObjectId(""61e5d8ff61a533db2aae3007""),""name"" : ""BRGM""}|","[{""_id"" : ObjectId(""61e5d8ff61a533db2aae3007""),""name"" : ""Acoucité""}, {""_id"" : ObjectId(""61e5d8ff61a533db2aae3007""),""name"" : ""BRGM""}]"
description,dataset,datasets.description,Description,Description,COMMON,,,False,,,True,False,None,string,True,False,8,4,4,-1,True,True,Field,Informations recueillies dans la base : Brève description du contenu et de l'objectif du JDD,,Localisation des zones de co-exposition Air / Bruit,Localisation des zones de co-exposition Air / Bruit
url,dataset,datasets.url,Lien,Link,COMMON,,,False,,,False,False,None,url,False,False,10,6,6,-1,True,True,False,Lien d’accès au jeux de données/portail,,http://www.orhane.fr/,http://www.orhane.fr/
contact_type,dataset,datasets.contact_type,Modalité de contact,Contact type,CONTACT,reference,name,True,ref_contact_type,,True,True,enum,string,False,False,11,-1,7,-1,False,True,False,Modalités de contact,,email|nom,"[""email"",""name""]"
contact,dataset,datasets.contact,Contact,Contact,CONTACT,,,False,,,False,True,None,string,False,False,12,-1,8,-1,False,True,Field,Contenu du contact,,contact@acoucite.org|joe.dohn@brgm.fr,"[""contact@acoucite.org"",""joe.dohn@brgm.fr""]"
contact_type_comments,dataset,datasets.contact_type_comments,Commentaires sur les modalités de contact,Contact Comments,CONTACT,comment,username|date|text,False,,,False,True,None,object,False,False,13,-1,9,-1,False,True,Field,Commentaires sur les modalités de contact,,"[ {""date"" : ISODate(""2022-01-17T22:00:49.656Z""),""user"" : ""admin"",""text"" : ""Modalité de contact à préciser et mettre à jour"" }] ","[ {""date"" : ISODate(""2022-01-17T22:00:49.656Z""),""user"" : ""admin"",""text"" : ""Modalité de contact à préciser et mettre à jour"" }] "
