name_fr,name_en,uri,slug
CSV,CSV,https://www.iana.org/assignments/media-types/csv,
E00,E00,https://www.iana.org/assignments/media-types/media-types.xhtml,
Esri ASCII grid,Esri ASCII grid,https://www.iana.org/assignments/media-types/media-types.xhtml,
Esri Shape,Esri Shape,https://www.iana.org/assignments/media-types/media-types.xhtml,
GDB,GDB,https://www.iana.org/assignments/media-types/media-types.xhtml,
GEOJSON,GEOJSON,https://www.iana.org/assignments/media-types/media-types.xhtml,
GRIB2,GRIB2,https://www.iana.org/assignments/media-types/media-types.xhtml,
HTML,HTML,https://www.iana.org/assignments/media-types/media-types.xhtml,
JSON,JSON,https://www.iana.org/assignments/media-types/media-types.xhtml,
KML,KML,https://www.iana.org/assignments/media-types/media-types.xhtml,
MDB,MDB,https://www.iana.org/assignments/media-types/media-types.xhtml,
MapInfo TAB file,MapInfo TAB file,https://www.iana.org/assignments/media-types/media-types.xhtml,
NetCDF,NetCDF,https://www.iana.org/assignments/media-types/media-types.xhtml,
Non renseigné,Not Specified,https://www.iana.org/assignments/media-types/media-types.xhtml,
ODS,ODS,https://www.iana.org/assignments/media-types/media-types.xhtml,
PDF,PDF,https://www.iana.org/assignments/media-types/media-types.xhtml,
PNG,PNG,https://www.iana.org/assignments/media-types/media-types.xhtml,
Plain text,Plain text,https://www.iana.org/assignments/media-types/media-types.xhtml,
SQL,SQL,https://www.iana.org/assignments/media-types/media-types.xhtml,
TIFF,TIFF,https://www.iana.org/assignments/media-types/media-types.xhtml,
TXT,TXT,https://www.iana.org/assignments/media-types/media-types.xhtml,
XLS,XLS,https://www.iana.org/assignments/media-types/media-types.xhtml,
XLSX,XLSX,https://www.iana.org/assignments/media-types/media-types.xhtml,
XML,XML,https://www.iana.org/assignments/media-types/media-types.xhtml,
