name_fr,name_en,uri,slug
1/25 000,1/25 000,,
1/1 000 000,1/1 000 000,,
Maillage 25ha/25ha,Maillage 25ha/25ha,,
Canton,Canton,,
Carreau 2km/2km,Carreau 2km/2km,,
Commune,Commune,,
IRIS,IRIS,,
Parcelle,Parkelle,,
UDI,UDI,,
Département,Department,,
Code INSEE,INSEE Code,,
Canton,Canton,,
Station de mesure,Measuring station,,
Petites régions agricoles,Small agricultural areas,,
Région,Region,,
EPCI,EPCI,,
Adresse,Address,,
Etablissement,Establishment,,
France entière,France whole,,
Métropole ou DOM,Metropolis or DOM,,
Installations,Facilities,,
Latitude/Longitude,Latitude/Longitude,,
Maillage 16 km/16 km,Maillage 16 km/16 km,,
Maillage 2km/2km,Maillage 2km/2km,,
Non renseigné,No information,,
Parc nationaux,National park,,
Parcelle,Parkelle,,
Point de mesure,Measuring point,,
Commune,Commune,,
Coordonnées x/y,Coordinates x/y,,
Points de mesure,Measuring points,,
Maillage 1km/1km,Maillage 1km/1km,,
Région,Region,,
Site de mesure,Measuring site,,
Département,Department,,
Site d'observation,Observation site,,
Site de mesure,Measuring site,,
Site de traitement,Treatment site,,
Site minier,Mining site,,
Siège exploitation agricole,Agricultural operations,,
Station de mesure,Measuring station,,
Antenne,Antenna,,
UCS,UCS,,
UTS,UTS,,
1/1 000 000,1/1 000 000,,
Ville,City,,
Zone,Area,,
1/50 000,1/50 000,,
maille 10mx10m,10mx10m,,
maille 5mx5m,mesh 5mx5m,,
Point d'eau,Water point,,
Etablissement scolaire,School establishment,,
