name_fr,name_en,uri,slug
Agence publique,Public Agency,,
Association déclarée reconnue d'utilité publique,Association of public utility,,
Association loi 1901,Association law 1901,,
Autorité nationale,National Autority,,
Autre,Other,,
Direction ministérielle,Ministerial direction,,
EPA,Administrative Public Institution,,
EPI,Industrial Public Institution,,
EPIC,Industrial and Commercial Public Institution,,
EPST,Scientific and Technological Public Institution,,
Ecole d'ingénieur,Engineering School,,
Etablissement public,Public Institution,,
GIS,Group of Scientific  Interest,,
Ministère,Ministry,,
Service ministériel,Ministerial Department,,
UMS,Mixed Service Unity,,
