name_fr,name_en,uri,slug
Adresses,Adresses,https://inspire.ec.europa.eu/Themes/79/2892,
Unités administratives,Administrative units,https://inspire.ec.europa.eu/Themes/114/2892,
Cadastral,Cadastral parcels,https://inspire.ec.europa.eu/Themes/122/2892,
Systèmes de référence coordonnés,Coordinate reference systems,https://inspire.ec.europa.eu/Themes/130/2892,
Systèmes géographiques,Geographical grid systems,https://inspire.ec.europa.eu/Themes/131/2892,
Noms géographiques,Geographical names,https://inspire.ec.europa.eu/Themes/132/2892,
Hydrographie,Hydrography,https://inspire.ec.europa.eu/Themes/116/2892,
Sites protégés,Protected sites,https://inspire.ec.europa.eu/Themes/117/2892,
Réseaux de transport,Transport networks,https://inspire.ec.europa.eu/Themes/115/2892,
Élevage,Elevation,https://inspire.ec.europa.eu/Themes/118/2892,
Géologie,Geology,https://inspire.ec.europa.eu/Themes/128/2892,
Couverture terrestre,Land cover,https://inspire.ec.europa.eu/Themes/123/2892,
Orthoimagery,Orthoimagery,https://inspire.ec.europa.eu/Themes/124/2892,
Installations agricoles et aquacoles,Agricultural and aquaculture facilities,https://inspire.ec.europa.eu/Themes/137/2892,
Zone de gestion / restriction / zones de régulation et unités de déclaration,Area management / restriction / regulation zones & reporting units,https://inspire.ec.europa.eu/Themes/139/2892,
Conditions atmosphériques,Atmospheric conditions,https://inspire.ec.europa.eu/Themes/141/2892,
Régions biogéographiques,Bio-geographical regions,https://inspire.ec.europa.eu/Themes/145/2892,
Bâtiments,Buildings,https://inspire.ec.europa.eu/Themes/126/2892,
Energy Resources,Energy Resources,https://inspire.ec.europa.eu/Themes/134/2892,
Surveillance de l &apos; environnement Installations,Environmental monitoring Facilities,https://inspire.ec.europa.eu/Themes/120/2892,
Habitats et biotopes,Habitats and biotopes,https://inspire.ec.europa.eu/Themes/146/2892,
Santé humaine et sécurité,Human health and safety,https://inspire.ec.europa.eu/Themes/119/2892,
Utilisation des terres,Land use,https://inspire.ec.europa.eu/Themes/129/2892,
Caractéristiques géographiques météorologiques,Meteorological geographical features,https://inspire.ec.europa.eu/Themes/142/2892,
Ressources minérales,Mineral Resources,https://inspire.ec.europa.eu/Themes/135/2892,
Zones de risque naturelles,Natural risk zones,https://inspire.ec.europa.eu/Themes/140/2892,
Caractéristiques géographiques océanographiques,Oceanographic geographical features,https://inspire.ec.europa.eu/Themes/143/2892,
Répartition de la population et démographie,Population distribution and demography,https://inspire.ec.europa.eu/Themes/138/2892,
Production et installations industrielles,Production and industrial facilities,https://inspire.ec.europa.eu/Themes/121/2892,
Régions maritimes,Sea regions,https://inspire.ec.europa.eu/Themes/144/2892,
Soil,Soil,https://inspire.ec.europa.eu/Themes/127/2892,
Répartition des espèces,Species distribution,https://inspire.ec.europa.eu/Themes/133/2892,
Unités statistiques,Statistical units,https://inspire.ec.europa.eu/Themes/125/2892,
Services publics et services gouvernementaux,Utility and governmental services,https://inspire.ec.europa.eu/Themes/136/2892,
